bba_id,date,bba_balance,bba_balance_fill,year,month,day,day_of_week,week_of_year,quarter,datekey
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-18,,,2023,12,18,0,51,4,20231218
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-19,,,2023,12,19,1,51,4,20231219
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-20,,,2023,12,20,2,51,4,20231220
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-21,,,2023,12,21,3,51,4,20231221
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-22,,,2023,12,22,4,51,4,20231222
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-23,,,2023,12,23,5,51,4,20231223
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-24,,,2023,12,24,6,51,4,20231224
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-25,,,2023,12,25,0,52,4,20231225
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-26,,,2023,12,26,1,52,4,20231226
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-27,,,2023,12,27,2,52,4,20231227
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-28,,,2023,12,28,3,52,4,20231228
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-29,,,2023,12,29,4,52,4,20231229
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-30,,,2023,12,30,5,52,4,20231230
0007e8ab-9d21-43ca-86cc-b45c0293950a,2023-12-31,,,2023,12,31,6,52,4,20231231
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-01,,,2024,1,1,0,1,1,20240101
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-02,,,2024,1,2,1,1,1,20240102
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-03,,,2024,1,3,2,1,1,20240103
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-04,,,2024,1,4,3,1,1,20240104
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-05,,,2024,1,5,4,1,1,20240105
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-06,,,2024,1,6,5,1,1,20240106
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-07,,,2024,1,7,6,1,1,20240107
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-08,,,2024,1,8,0,2,1,20240108
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-09,0.0,0.0,2024,1,9,1,2,1,20240109
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-10,0.0,0.0,2024,1,10,2,2,1,20240110
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-11,0.0,0.0,2024,1,11,3,2,1,20240111
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-12,0.0,0.0,2024,1,12,4,2,1,20240112
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-13,0.0,0.0,2024,1,13,5,2,1,20240113
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-14,0.0,0.0,2024,1,14,6,2,1,20240114
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-15,0.0,0.0,2024,1,15,0,3,1,20240115
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-16,10.0,10.0,2024,1,16,1,3,1,20240116
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-17,10.0,10.0,2024,1,17,2,3,1,20240117
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-18,10.0,10.0,2024,1,18,3,3,1,20240118
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-19,10.0,10.0,2024,1,19,4,3,1,20240119
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-20,10.0,10.0,2024,1,20,5,3,1,20240120
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-21,15.0,15.0,2024,1,21,6,3,1,20240121
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-22,6.22,6.22,2024,1,22,0,4,1,20240122
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-23,6.22,6.22,2024,1,23,1,4,1,20240123
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-24,1.22,1.22,2024,1,24,2,4,1,20240124
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-25,1.22,1.22,2024,1,25,3,4,1,20240125
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-26,1.22,1.22,2024,1,26,4,4,1,20240126
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-27,1.22,1.22,2024,1,27,5,4,1,20240127
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-28,1.22,1.22,2024,1,28,6,4,1,20240128
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-29,1.22,1.22,2024,1,29,0,5,1,20240129
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-30,1.22,1.22,2024,1,30,1,5,1,20240130
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-01-31,1.22,1.22,2024,1,31,2,5,1,20240131
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-01,21.22,21.22,2024,2,1,3,5,1,20240201
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-02,21.22,21.22,2024,2,2,4,5,1,20240202
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-03,21.22,21.22,2024,2,3,5,5,1,20240203
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-04,21.22,21.22,2024,2,4,6,5,1,20240204
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-05,16.24,16.24,2024,2,5,0,6,1,20240205
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-06,11.24,11.24,2024,2,6,1,6,1,20240206
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-07,11.24,11.24,2024,2,7,2,6,1,20240207
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-08,16.24,16.24,2024,2,8,3,6,1,20240208
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-09,11.24,11.24,2024,2,9,4,6,1,20240209
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-10,1.25,1.25,2024,2,10,5,6,1,20240210
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-11,1.25,1.25,2024,2,11,6,6,1,20240211
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-12,32.24,32.24,2024,2,12,0,7,1,20240212
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-13,32.24,32.24,2024,2,13,1,7,1,20240213
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-14,32.24,32.24,2024,2,14,2,7,1,20240214
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-15,27.24,27.24,2024,2,15,3,7,1,20240215
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-16,27.24,27.24,2024,2,16,4,7,1,20240216
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-17,27.24,27.24,2024,2,17,5,7,1,20240217
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-18,27.24,27.24,2024,2,18,6,7,1,20240218
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-19,27.24,27.24,2024,2,19,0,8,1,20240219
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-20,27.24,27.24,2024,2,20,1,8,1,20240220
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-21,27.24,27.24,2024,2,21,2,8,1,20240221
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-22,27.24,27.24,2024,2,22,3,8,1,20240222
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-23,19.24,19.24,2024,2,23,4,8,1,20240223
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-24,19.24,19.24,2024,2,24,5,8,1,20240224
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-25,19.24,19.24,2024,2,25,6,8,1,20240225
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-26,19.24,19.24,2024,2,26,0,9,1,20240226
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-27,14.24,14.24,2024,2,27,1,9,1,20240227
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-28,14.24,14.24,2024,2,28,2,9,1,20240228
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-02-29,14.24,14.24,2024,2,29,3,9,1,20240229
0007e8ab-9d21-43ca-86cc-b45c0293950a,2024-03-01,9.24,9.24,2024,3,1,4,9,1,20240301
